draw_date,n1,n2,n3,n4,n5,n6
2024-09-01,3,17,25,27,32,33
2024-09-02,14,20,23,26,31,38
2024-09-03,7,9,19,33,40,48
2024-09-04,10,17,20,35,39,46
2024-09-05,5,7,22,31,44,47
2024-09-06,7,21,23,28,36,40
2024-09-07,14,29,31,34,36,41
2024-09-08,1,4,6,17,26,36
2024-09-09,1,32,40,41,43,46
2024-09-10,5,13,16,21,22,47
2024-09-11,10,15,16,29,35,37
2024-09-12,6,7,21,32,33,49
2024-09-13,8,19,20,36,46,48
2024-09-14,14,22,35,36,38,39
2024-09-15,6,19,21,25,29,39
2024-09-16,12,13,16,19,37,46
2024-09-17,3,5,17,31,40,43
2024-09-18,3,6,9,10,44,49
2024-09-19,18,26,34,35,44,45
2024-09-20,14,16,27,34,38,44
2024-09-21,18,29,32,38,42,43
2024-09-22,6,8,21,23,40,45
2024-09-23,13,16,22,32,38,41
2024-09-24,2,8,15,18,24,47
2024-09-25,4,7,10,11,22,28
2024-09-26,3,15,35,37,41,45
2024-09-27,2,5,8,39,41,44
2024-09-28,6,8,13,26,37,39
2024-09-29,2,3,8,13,24,39
2024-09-30,4,8,12,14,31,46
2024-09-31,2,7,28,35,40,44
2024-09-32,5,15,17,20,42,48
2024-09-33,4,12,23,28,30,33
2024-09-34,3,7,13,26,39,45
2024-09-35,11,17,23,31,37,47
2024-09-36,4,11,14,44,45,48
2024-09-37,8,11,17,22,34,39
2024-09-38,1,12,29,31,43,44
2024-09-39,20,23,27,33,37,42
2024-09-40,1,10,17,25,36,43
2024-09-41,3,6,22,30,35,48
2024-09-42,9,16,18,23,31,40
2024-09-43,19,23,38,40,41,44
2024-09-44,9,20,25,27,42,46
2024-09-45,1,6,13,22,39,45
2024-09-46,11,15,16,25,29,41
2024-09-47,3,26,27,37,44,46
2024-09-48,3,11,27,37,43,45
2024-09-49,5,11,17,29,45,49
2024-09-50,1,3,32,34,36,39
